Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,4,9,35164,5,484,204963,1.5,834.2
C70A,4,9,35164,6,484,204963,1.7,832.6
C70A,4,9,61447,7,484,204963,3.6,834.8
C70A,4,9,61447,8,484,204963,3.3,835.6
C70A,4,10,18993,1,0,0,NA,840
C70A,4,10,18993,2,0,0,NA,840.2
C70A,4,10,22415,3,0,0,NA,840.5
C70A,4,10,22415,4,0,0,NA,840.2
C70A,4,10,13542,5,0,0,0,837
C70A,4,10,13542,6,0,0,0,837
C70A,4,10,93734,7,0,0,NA,840.2
C70A,4,10,93734,8,0,0,NA,840
C70A,4,10,18993,1,374,153125,2.2,838.4
C70A,4,10,18993,2,374,153125,2.5,838
C70A,4,10,22415,3,374,153125,2.1,839.3
C70A,4,10,22415,4,374,153125,2.5,837.6
C70A,4,10,13542,5,374,153125,0.5,835.9
C70A,4,10,13542,6,374,153125,0.9,835
C70A,4,10,93734,7,374,153125,2,838.5
C70A,4,10,93734,8,374,153125,2.1,837.8
C70A,4,10,18993,1,429,178601,2.4,NA
C70A,4,10,18993,2,429,178601,NA,NA
C70A,4,10,22415,3,429,178601,2.4,NA
C70A,4,10,22415,4,429,178601,2.9,NA
C70A,4,10,13542,5,429,178601,1.1,NA
C70A,4,10,13542,6,429,178601,NA,NA
C70A,4,10,93734,7,429,178601,2,NA
C70A,4,10,93734,8,429,178601,NA,NA
C70A,4,10,18993,1,484,204963,2.6,836.8
C70A,4,10,18993,2,484,204963,3.1,836.5
C70A,4,10,22415,3,484,204963,2.5,838.2
C70A,4,10,22415,4,484,204963,3,836.1
C70A,4,10,13542,5,484,204963,1.2,833.8
C70A,4,10,13542,6,484,204963,1.3,833.6
C70A,4,10,93734,7,484,204963,2.3,837.3
C70A,4,10,93734,8,484,204963,2.8,836.6
C70A,3,11,33712,1,0,0,0,818.7
C70A,3,11,33712,2,0,0,0,819.1
C70A,3,11,464,3,0,0,0,818.2
C70A,3,11,464,4,0,0,0,818.5
C70A,3,11,39915,5,0,0,0,817.2
C70A,3,11,39915,6,0,0,0,817.2
C70A,3,11,202019,7,0,0,0,819.1
C70A,3,11,202019,8,0,0,0,819
C70A,3,11,33712,1,137,58572,0.5,NA
C70A,3,11,33712,2,137,58572,0.4,NA
C70A,3,11,464,3,137,58572,0.5,NA
C70A,3,11,464,4,137,58572,0.7,NA
C70A,3,11,39915,5,137,58572,0.6,NA
C70A,3,11,39915,6,137,58572,0.4,NA
C70A,3,11,202019,7,137,58572,0.4,NA
C70A,3,11,202019,8,137,58572,0.5,NA
C70A,3,11,33712,1,193,85591,0.9,NA
C70A,3,11,33712,2,193,85591,1.4,NA
C70A,3,11,464,3,193,85591,0.9,NA
C70A,3,11,464,4,193,85591,1.9,NA
C70A,3,11,39915,5,193,85591,2,NA
C70A,3,11,39915,6,193,85591,1,NA
C70A,3,11,202019,7,193,85591,1.3,NA
C70A,3,11,202019,8,193,85591,1,NA
C70A,3,11,33712,1,239,106130,0.8,815.2
C70A,3,11,33712,2,239,106130,1.5,815.4
C70A,3,11,464,3,239,106130,1,815.4
C70A,3,11,464,4,239,106130,2.1,813.7
C70A,3,11,39915,5,239,106130,2.2,811.5
C70A,3,11,39915,6,239,106130,1.6,813.9
C70A,3,11,202019,7,239,106130,0.8,815.5
C70A,3,11,202019,8,239,106130,0.5,816.9
C70A,3,12,14877,1,0,0,0,822.3
C70A,3,12,14877,2,0,0,0,821.9
C70A,3,12,4477,3,0,0,0,820.4
C70A,3,12,4477,4,0,0,0,820
C70A,3,12,201979,5,0,0,0,824.2
C70A,3,12,201979,6,0,0,0,823
C70A,3,12,14997,7,0,0,0,824.8
C70A,3,12,14997,8,0,0,0,824.4
C70A,3,12,14877,1,137,58572,0.4,NA
C70A,3,12,14877,2,137,58572,0.3,NA
C70A,3,12,4477,3,137,58572,0.5,NA
C70A,3,12,4477,4,137,58572,0.4,NA
C70A,3,12,201979,5,137,58572,0.6,NA
C70A,3,12,201979,6,137,58572,0.7,NA
C70A,3,12,14997,7,137,58572,0.6,NA
C70A,3,12,14997,8,137,58572,0.4,NA
C70A,3,12,14877,1,193,85591,0.6,NA
C70A,3,12,14877,2,193,85591,0.7,NA
C70A,3,12,4477,3,193,85591,0.7,NA
